id,name,Capacity,Access,Bicycle_parking,Covered,nodeId,latitude,longitude,iconUrl
cycleparking-w396664459,Un-named place of interest,,,stands,yes,0,53.66273,-1.48098,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w914078552,Un-named place of interest,,,stands,yes,0,53.7256,-1.34171,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w914078553,Un-named place of interest,,,stands,yes,0,53.72561,-1.34167,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w892721379,Un-named place of interest,,,stands,,0,53.72694,-1.31562,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w901067260,Un-named place of interest,6,,stands,no,0,53.69273,-1.30851,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w922463681,Morrisons,,customers,stands,no,0,53.69388,-1.31169,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w963927849,Un-named place of interest,5,yes,stands,no,0,53.69226,-1.31348,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w963927850,Un-named place of interest,5,yes,stands,no,0,53.69255,-1.31282,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w862442541,Un-named place of interest,6,yes,stands,yes,0,53.69096,-1.30714,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w862442542,Un-named place of interest,6,yes,stands,yes,0,53.691,-1.30708,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w887603208,Un-named place of interest,6,yes,stands,yes,0,53.68986,-1.30818,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w860566517,Un-named place of interest,5,,stands,yes,0,53.70115,-1.28823,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w863230633,Un-named place of interest,6,yes,stands,yes,0,53.69857,-1.304,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w1069392672,Un-named place of interest,,,building,,0,53.72971,-1.86925,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w871790045,Un-named place of interest,5,,,yes,0,53.71821,-1.39533,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w1059539805,Un-named place of interest,,private,shed,yes,0,53.7059,-1.83278,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w1041113414,Un-named place of interest,,private,shed,yes,0,53.69536,-1.76924,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w1041113428,Un-named place of interest,,private,shed,yes,0,53.69635,-1.76882,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w881615810,Un-named place of interest,,,,,0,53.65877,-1.5572,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w840862386,Un-named place of interest,,private,shed,yes,0,53.69677,-1.30638,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
